Name,Current Price,Discout,Old Price,Shipping Status,No Of Reviews
"Timack® F9-5C Air Buds TWS Earbuds - Airdots True Wireless Earbuds Earphone Headphone TWS Wireless Bluetooth V5.0 Headset Sport Music Stereo Bass Handsfree, Headphone LED Display Noise Canceling with Microphone Charging Case","Rs. 1,399",-67%,"Rs. 4,280",Free Shipping,220
Branded M10 Buds Wireless Bluetooth EarBuds Stereo Earphones bluetooth ear phone Ear Buds AIrdots Premium Quality,"Rs. 1,550",-32%,"Rs. 2,290",Pakistan,0
High Quality TWS True Wireless Stereo Earbuds / Wireless Headset / Bluetooth Earphones / No Wire Handsfree / Earpods / Buds,Rs. 829,-41%,"Rs. 1,398",Pakistan,11
"Air F9 Pro+ Buds TWS F9 Earbuds Pro Plus - Wireless F9 Airdots Pro+ Power Bank - Simple and Extraordinary, Born For Music - TWS V5.1 Bluetooth Earphone - Lightweight & Portable Imported F9 Pro+ Airdots at Best Prices","Rs. 1,499",-25%,"Rs. 1,999",Pakistan,97
Branded M21 Buds Wireless Buds Bluetooth EarBuds Earphone Style Airdots Stereo Earphones bluetooth ear phone Ear Buds AIrdots Premium Quality,"Rs. 3,990",-20%,"Rs. 5,000",Free Shipping,0
"TWS M10 Air Buds TWS Wireless Earbuds - Airdots Wireless Bluetooth 5.1 Earbuds Finger Touch Control Noise Cancellation with LED Display Sport Earphones with Power Bank, in Ear Base with Built Mic","Rs. 1,580",-62%,"Rs. 4,200",Free Shipping,152
i7s TWS Ear buds Bluetooth 5.2 Headphones Touch Control Earphones LED Display Headset HiFi Quality Wireless Earbuds,Rs. 799,-47%,"Rs. 1,499",Free Shipping,0
"Air F9 Pro+ Buds TWS F9 Earbuds Pro Plus - Wireless F9 Airdots Pro+ Power Bank - Simple and Extraordinary, Born For Music - TWS V5.1 Bluetooth Earphone - Lightweight & Portable Imported F9 Pro+ Airdots at Best Prices","Rs. 1,500",Discount not offered,Not Available,Pakistan,28
"Timack® M10 Air Buds TWS Earbuds - Airdots Wireless Earbuds, True Wireless Bluetooth 5.2 Stereo Bass Handsfree, Earbuds HiFi Stereo Sound Bluetooth Headphones CVC8.0 Noise Cancelling Wireless Headsets","Rs. 1,580",-54%,"Rs. 3,400",Free Shipping,60
M10 Mini Bluetooth Ear Phone Wireless Earphones Sport Ear Buds IPX7 Headset HD Stereo Noise Cancelling Waterproof Ear Phones Earbuds for Smartphones,Rs. 879,-56%,"Rs. 1,999",Free Shipping,1
"Timack® Y50Pro Air Buds TWS Wireless Earbuds - Airdots Wireless Noise Cancelling Stereo Sound LED Display Waterproof Sport Bluetooth V5.1 Stereo Bass Handsfree, Headset with Mic",Rs. 999,-68%,"Rs. 3,100",Free Shipping,46
0PP0 OS3 Pro ear buds [silicon case free] with high bass earbuds airbuds air buds wireless earbuds earphones,"Rs. 2,799",-57%,"Rs. 6,499",Free Shipping,14
"Air F9 Pro+ Buds TWS F9 Earbuds Pro Plus - Wireless F9 Airdots Pro+ Power Bank - Simple and Extraordinary, Born For Music - TWS V5.1 Bluetooth Earphone - Lightweight & Portable Imported F9 Pro+ Airdots at Best Prices","Rs. 1,499",-25%,"Rs. 1,999",Pakistan,15
S20 M18 M10 Mini Bluetooth Ear Phone Wireless Earphones Sport Ear Buds IPX7 Headset HD Stereo Noise Cancelling Waterproof Ear Phones Earbuds for Smartphones,"Rs. 1,899",-53%,"Rs. 3,999",Pakistan,0
